Data Publicação,Interesse,Título,Link
26/03/2026,Geral,Receita Federal sedia a III Reunião de Diretores Gerais de Aduana da região das Américas,https://www.gov.br/receitafederal/pt-br/assuntos/noticias/2026/marco/a-receita-federal-sedia-no-rio-de-janeiro-a-iii-reuniao-de-diretores-gerais-de-aduana-sobre-combate-ao-comercio-exterior-ilicito-nas-americas
26/03/2026,Geral,"Arrecadação de receitas federais alcança R$ 222,1 bilhões em fevereiro de 2026",https://www.gov.br/receitafederal/pt-br/assuntos/noticias/2026/marco/arrecadacao-de-receitas-federais-alcanca-r-222-1-bilhoes-em-fevereiro-de-2026
25/03/2026,Geral,"Nota Coana nº 32/2026 é divulgada com esclarecimentos sobre acesso, credenciamento e capacitação em recintos alfandegados",https://www.gov.br/receitafederal/pt-br/assuntos/noticias/2026/marco/nota-coana-no-32-2026-e-divulgada-com-esclarecimentos-sobre-acesso-credenciamento-e-capacitacao-em-recintos-alfandegados
24/03/2026,Geral,Medida da Receita Federal permite voos internacionais temporários em São José do Rio Preto para competições da Libertadores e Sul-Americana,https://www.gov.br/receitafederal/pt-br/assuntos/noticias/2026/marco/medida-da-receita-federal-permite-voos-internacionais-temporarios-em-sao-jose-do-rio-preto-para-competicoes-da-libertadores-e-sul-americana
24/03/2026,Pessoa Física,Receita Federal realiza segunda live do IRPF com foco em “Despesas Médicas”,https://www.gov.br/receitafederal/pt-br/assuntos/noticias/2026/marco/receita-federal-realiza-segunda-live-do-irpf-com-foco-em-201cdespesas-medicas201d
24/03/2026,Geral,Receita Federal e Receita Estadual de Minas Gerais desarticulam esquema de comercialização irregular avaliado em R$ 90 milhões em São José da Lapa,https://www.gov.br/receitafederal/pt-br/assuntos/noticias/2026/marco/receita-federal-e-receita-estadual-de-minas-gerais-desarticulam-esquema-de-comercializacao-irregular-avaliado-em-r-90-milhoes-em-sao-jose-da-lapa
23/03/2026,Geral,Receita Federal recebe mais de um milhão de declarações no primeiro dia de entrega do Imposto de Renda,https://www.gov.br/receitafederal/pt-br/assuntos/noticias/2026/marco/receita-federal-recebe-mais-de-um-milhao-de-declaracoes-no-primeiro-dia-de-entrega-do-imposto-de-renda
23/03/2026,Geral,"Receita Federal apreende motocicletas elétricas, munições e medicamentos em Mundo Novo/MS",https://www.gov.br/receitafederal/pt-br/assuntos/noticias/2026/marco/receita-federal-apreende-motocicletas-eletricas-municoes-e-medicamentos-em-mundo-novo-ms
23/03/2026,Pessoa Física,"Consulta ao lote residual de restituição do IRPF de março será aberta nesta terça-feira, 24/03",https://www.gov.br/receitafederal/pt-br/assuntos/noticias/2026/marco/consulta-ao-lote-residual-de-restituicao-do-irpf-de-marco-sera-aberta-nesta-terca-feira-24-03
23/03/2026,Geral,Ação integrada inicia fiscalização em frigorífico no Paraná,https://www.gov.br/receitafederal/pt-br/assuntos/noticias/2026/marco/acao-integrada-inicia-fiscalizacao-em-frigorifico-no-parana
23/03/2026,Geral,Receita Federal comenta nesta terça-feira (24/3) a arrecadação do mês de fevereiro,https://www.gov.br/receitafederal/pt-br/assuntos/noticias/2026/marco/receita-federal-comenta-nesta-terca-feira-24-3-a-arrecadacao-do-mes-de-fevereiro
23/03/2026,Geral,Receita Federal recebe 51 requerimentos no Programa Confia,https://www.gov.br/receitafederal/pt-br/assuntos/noticias/2026/marco/receita-federal-recebe-51-requerimentos-no-programa-confia
23/03/2026,Pessoa Física,Receita Federal começa a receber declarações do IRPF nesta segunda-feira às 8 horas,https://www.gov.br/receitafederal/pt-br/assuntos/noticias/2026/marco/receita-federal-comeca-a-receber-declaracoes-do-irpf-nesta-segunda-feira-as-8-horas
20/03/2026,Geral,Secretário da Receita Federal do Brasil participa de agenda no Peru e assina Memorando de Entendimento para ampliação da cooperação aduaneira,https://www.gov.br/receitafederal/pt-br/assuntos/noticias/2026/marco/secretario-da-receita-federal-do-brasil-participa-de-agenda-no-peru-e-assina-memorando-de-entendimento-para-ampliacao-da-cooperacao-aduaneira
20/03/2026,Geral,"Receita Federal apreende 3,3 kg de skunk na fronteira de Mundo Novo/MS",https://www.gov.br/receitafederal/pt-br/assuntos/noticias/2026/marco/receita-federal-apreende-3-3-kg-de-skunk-na-fronteira-de-mundo-novo-ms
20/03/2026,Geral,Receita Federal e Polícia Rodoviária Federal realizam a maior apreensão de supermaconha da história em Goiás,https://www.gov.br/receitafederal/pt-br/assuntos/noticias/2026/marco/receita-federal-e-policia-rodoviaria-federal-realizam-a-maior-apreensao-de-supermaconha-da-historia-em-goias
19/03/2026,Pessoa Física,Receita Federal antecipa liberação do download do Programa do IRPF 2026,https://www.gov.br/receitafederal/pt-br/assuntos/noticias/2026/marco/receita-federal-antecipa-liberacao-do-download-do-programa-do-irpf-2026
19/03/2026,Geral,"Receita Federal participa da 17ª Caravana Federativa, em São Paulo/SP",https://www.gov.br/receitafederal/pt-br/assuntos/noticias/2026/marco/receita-federal-participa-da-17a-caravana-federativa-em-sao-paulo-sp
18/03/2026,Geral,Gestão feminina e equidade no serviço público são temas de encontro da CMEDI da Receita Federal em Recife,https://www.gov.br/receitafederal/pt-br/assuntos/noticias/2026/marco/gestao-feminina-e-equidade-no-servico-publico-sao-temas-de-encontro-da-cmedi-da-receita-federal-em-recife
18/03/2026,Geral,RFB e PF deflagram operação para repressão a organização criminosa que recrutava agentes de segurança  para a prática de contrabando e outros crimes,https://www.gov.br/receitafederal/pt-br/assuntos/noticias/2026/marco/rfb-e-pf-deflagram-operacao-para-repressao-a-organizacao-criminosa-que-recrutava-agentes-de-seguranca-para-a-pratica-de-contrabando-e-outros-crimes
